challenge_id,challenge_name,status,prize,days_length,reg_start,reg_end,reg_date,no_of_reg
30042576,"TopCoder Competition Engine - Web Socket Listener - Add configuration for using SSL or not",Completed,60,31,2014-05-07,2014-06-06,2014-05-07,3
30043472,"Create Demo For Practice Room Actions",Completed,200,31,2014-06-14,2014-07-14,2014-06-14,11
30043472,"Create Demo For Practice Room Actions",Completed,200,31,2014-06-14,2014-07-14,2014-06-15,5
30043484,"TopCoder Competition Engine - Create Practice Rooms",Completed,100,31,2014-06-16,2014-07-16,2014-06-16,1
30043514,"TopCoder Competition Engine - Algorithm Contest Creation Analysis",Completed,100,31,2014-06-17,2014-07-17,2014-06-17,7
30043514,"TopCoder Competition Engine - Algorithm Contest Creation Analysis",Completed,100,31,2014-06-17,2014-07-17,2014-06-18,5
30043514,"TopCoder Competition Engine - Algorithm Contest Creation Analysis",Completed,100,31,2014-06-17,2014-07-17,2014-06-19,1
30043666,"Web Arena UI - Add Timeout logic for Login",Completed,80,31,2014-06-23,2014-07-23,2014-06-24,5
30043666,"Web Arena UI - Add Timeout logic for Login",Completed,80,31,2014-06-23,2014-07-23,2014-06-25,1
30044078,"Find Way to Create Invitional SRM",Completed,80,31,2014-07-09,2014-08-08,2014-07-09,1
30044078,"Find Way to Create Invitional SRM",Completed,80,31,2014-07-09,2014-08-08,2014-07-11,1
30044687,"TC API - Update SRM related Routes",Completed,100,31,2014-08-02,2014-09-01,2014-08-02,4
30045035,"Web Arena - Fix Login Problem with Safari",Completed,100,31,2015-01-15,2015-02-14,2015-01-15,8
30045035,"Web Arena - Fix Login Problem with Safari",Completed,100,31,2015-01-15,2015-02-14,2015-01-16,2
30045035,"Web Arena - Fix Login Problem with Safari",Completed,100,31,2015-01-15,2015-02-14,2015-01-17,1
30045035,"Web Arena - Fix Login Problem with Safari",Completed,100,31,2015-01-15,2015-02-14,2015-01-18,1
30045066,"Web Arena UI - Use Custom Scrollbar for Coder Info Dialog",Completed,50,31,2014-08-15,2014-09-14,2014-08-15,6
30045066,"Web Arena UI - Use Custom Scrollbar for Coder Info Dialog",Completed,50,31,2014-08-15,2014-09-14,2014-08-18,2
30045067,"Web Arena UI - Member Photo Display",Completed,100,31,2014-08-20,2014-09-19,2014-08-20,4
30045067,"Web Arena UI - Member Photo Display",Completed,100,31,2014-08-20,2014-09-19,2014-08-25,1
30045175,"Web Arena UI - Registrants Dialog Improvement",Completed,200,31,2014-09-03,2014-10-03,2014-09-03,5
30045175,"Web Arena UI - Registrants Dialog Improvement",Completed,200,31,2014-09-03,2014-10-03,2014-09-04,1
30045212,"Approach Research - Generate Image file for Source Code",Completed,100,31,2014-08-20,2014-09-19,2014-08-20,5
30045585,"SRM Round Configuration APIs - Set Round Segments API",Completed,200,31,2014-09-04,2014-10-04,2014-09-04,3
30045585,"SRM Round Configuration APIs - Set Round Segments API",Completed,200,31,2014-09-04,2014-10-04,2014-09-05,1
30045585,"SRM Round Configuration APIs - Set Round Segments API",Completed,200,31,2014-09-04,2014-10-04,2014-09-07,1
30045643,"Web Arena - Add Grunt Jslint Task",Completed,30,31,2014-09-05,2014-10-05,2014-09-06,4
30045699,"Create SRM Contest API Update",Completed,50,31,2014-09-09,2014-10-09,2014-09-09,5
30045700,"Create Round API Update",Completed,50,31,2014-09-09,2014-10-09,2014-09-09,1
30045724,"Web Arena - Play Sounds for Whisper and Reply to messages",Completed,50,31,2014-09-10,2014-10-10,2014-09-10,5
30045724,"Web Arena - Play Sounds for Whisper and Reply to messages",Completed,50,31,2014-09-10,2014-10-10,2014-09-11,1
30045725,"Web Arena - Fix Constraints Display Problem in Problem Statement Section",Completed,50,31,2014-09-10,2014-10-10,2014-09-10,5
30045725,"Web Arena - Fix Constraints Display Problem in Problem Statement Section",Completed,50,31,2014-09-10,2014-10-10,2014-09-11,1
30045725,"Web Arena - Fix Constraints Display Problem in Problem Statement Section",Completed,50,31,2014-09-10,2014-10-10,2014-09-13,1
30045726,"Web Arena - Limit the Number Messages in the Chat Widget",Completed,80,31,2014-09-10,2014-10-10,2014-09-10,6
30045741,"Web Arena - Contest Creation Wizard Update",Completed,50,31,2014-09-11,2014-10-11,2014-09-11,4
30046175,"Web Arena - Division Leaderboard Pagination",Completed,500,31,2014-10-01,2014-10-31,2014-10-01,2
30046175,"Web Arena - Division Leaderboard Pagination",Completed,500,31,2014-10-01,2014-10-31,2014-10-02,7
30046175,"Web Arena - Division Leaderboard Pagination",Completed,500,31,2014-10-01,2014-10-31,2014-10-03,2
30046194,"Web Arena - Match Clock Visibility",Completed,500,31,2014-10-02,2014-11-01,2014-10-02,4
30046194,"Web Arena - Match Clock Visibility",Completed,500,31,2014-10-02,2014-11-01,2014-10-03,5
30046220,"Web Arena - Standarize Names in Web Arena",Completed,50,31,2014-10-05,2014-11-04,2014-10-05,1
30046221,"Web Arena - Update Sprite New Header",Completed,30,31,2014-10-05,2014-11-04,2014-10-05,2
30046221,"Web Arena - Update Sprite New Header",Completed,30,31,2014-10-05,2014-11-04,2014-10-11,1
30046361,"Build Arena Ideas Page",Completed,300,31,2014-10-09,2014-11-08,2014-10-09,9
30046361,"Build Arena Ideas Page",Completed,300,31,2014-10-09,2014-11-08,2014-10-10,1
30046361,"Build Arena Ideas Page",Completed,300,31,2014-10-09,2014-11-08,2014-10-12,1
30046484,"Web Arena - Sprite Image Change",Completed,100,31,2014-10-14,2014-11-13,2014-10-14,8
30046484,"Web Arena - Sprite Image Change",Completed,100,31,2014-10-14,2014-11-13,2014-10-15,6
30046555,"TC API - Pratice Problems API - Query Improvement",Completed,150,31,2014-10-18,2014-11-17,2014-10-18,3
30046555,"TC API - Pratice Problems API - Query Improvement",Completed,150,31,2014-10-18,2014-11-17,2014-10-19,1
30046555,"TC API - Pratice Problems API - Query Improvement",Completed,150,31,2014-10-18,2014-11-17,2014-10-20,3
30046555,"TC API - Pratice Problems API - Query Improvement",Completed,150,31,2014-10-18,2014-11-17,2014-10-21,1
30046656,"TC API - Get Round Term API",Completed,80,31,2014-10-22,2014-11-21,2014-10-22,2
30046656,"TC API - Get Round Term API",Completed,80,31,2014-10-22,2014-11-21,2014-10-23,1
30046781,"Web Arena - Update Social Feature UI",Completed,100,31,2014-10-28,2014-11-27,2014-10-28,6
30046781,"Web Arena - Update Social Feature UI",Completed,100,31,2014-10-28,2014-11-27,2014-10-29,2
30046888,"Web Arena - Practice Problem Loading Issue",Completed,200,31,2014-10-31,2014-11-30,2014-10-31,5
30047136,"Web Arena - Remove Type Column for Practice Problem Listing Page",Completed,100,31,2014-11-10,2014-12-10,2014-11-10,3
30047136,"Web Arena - Remove Type Column for Practice Problem Listing Page",Completed,100,31,2014-11-10,2014-12-10,2014-11-11,2
30047174,"Web Arena - Update Nav Icons",Completed,50,31,2014-11-11,2014-12-11,2014-11-11,3
30047174,"Web Arena - Update Nav Icons",Completed,50,31,2014-11-11,2014-12-11,2014-11-12,2
30047205,"Web Arena UI - Update Practice Problem Coding Page to show Match Editorial Link",Completed,60,31,2015-01-05,2015-02-04,2015-01-05,6
30047205,"Web Arena UI - Update Practice Problem Coding Page to show Match Editorial Link",Completed,60,31,2015-01-05,2015-02-04,2015-01-06,1
30047212,"TC API - Create SRM Contest Round API Update",Completed,50,31,2014-12-24,2015-01-23,2014-12-25,3
30047212,"TC API - Create SRM Contest Round API Update",Completed,50,31,2014-12-24,2015-01-23,2014-12-26,3
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-24,3
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-25,5
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-26,2
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-27,1
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-28,1
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-11-30,3
30047401,"Web Arena New Relic Monitoring",Completed,200,31,2014-11-24,2014-12-24,2014-12-02,2
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-05,3
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-07,4
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-13,1
30047630,"Web Arena Fix - Problem Statement area sometimes gets empty when the area is expand or collapsed","Cancelled - Requirem",200,31,2014-12-05,2015-01-04,2014-12-19,1
