challengeId,challengeName,status,prize,daysLength,registrationStart,registrationEnd,registrationDate,noOfRegistrations
30039513,"TopCoder Web Arena Prototype - Phase I - Chat Widget",Completed,1500,3,2014-05-18,2014-05-20,2014-05-18,12
30039513,"TopCoder Web Arena Prototype - Phase I - Chat Widget",Completed,1500,3,2014-05-18,2014-05-20,2014-05-19,5
30039513,"TopCoder Web Arena Prototype - Phase I - Chat Widget",Completed,1500,3,2014-05-18,2014-05-20,2014-05-20,3
30040926,"Module Assembly - Web Arena UI - Chat Widget",Completed,2100,3,2014-06-06,2014-06-08,2014-06-06,9
30040926,"Module Assembly - Web Arena UI - Chat Widget",Completed,2100,3,2014-06-06,2014-06-08,2014-06-07,8
30040926,"Module Assembly - Web Arena UI - Chat Widget",Completed,2100,3,2014-06-06,2014-06-08,2014-06-08,1
30040927,"Module Assembly - Web Arena UI - Rating Indicator",Completed,1200,3,2014-06-17,2014-06-19,2014-06-17,8
30040927,"Module Assembly - Web Arena UI - Rating Indicator",Completed,1200,3,2014-06-17,2014-06-19,2014-06-18,5
30040927,"Module Assembly - Web Arena UI - Rating Indicator",Completed,1200,3,2014-06-17,2014-06-19,2014-06-19,3
30040928,"Quick 72hrs!!! Module Assembly - Web Arena - Match Plan Widget and Match Schedule Page Improvement",Completed,900,3,2015-01-05,2015-01-07,2015-01-05,9
30040928,"Quick 72hrs!!! Module Assembly - Web Arena - Match Plan Widget and Match Schedule Page Improvement",Completed,900,3,2015-01-05,2015-01-07,2015-01-06,3
30040928,"Quick 72hrs!!! Module Assembly - Web Arena - Match Plan Widget and Match Schedule Page Improvement",Completed,900,3,2015-01-05,2015-01-07,2015-01-07,4
30040930,"Module Assembly -  Web Arena UI - Coding IDE Part 2",Completed,2100,3,2014-05-29,2014-05-31,2014-05-29,10
30040930,"Module Assembly -  Web Arena UI - Coding IDE Part 2",Completed,2100,3,2014-05-29,2014-05-31,2014-05-30,7
30040930,"Module Assembly -  Web Arena UI - Coding IDE Part 2",Completed,2100,3,2014-05-29,2014-05-31,2014-05-31,1
30040934,"Fast 96hrs!!! Module Assembly - Practice Problem Listing Page",Completed,1500,3,2014-10-07,2014-10-09,2014-10-07,4
30040934,"Fast 96hrs!!! Module Assembly - Practice Problem Listing Page",Completed,1500,3,2014-10-07,2014-10-09,2014-10-08,8
30040934,"Fast 96hrs!!! Module Assembly - Practice Problem Listing Page",Completed,1500,3,2014-10-07,2014-10-09,2014-10-09,1
30041547,"Module Assembly - TopCoder Competition Engine - Responses for Challenges and Challengers","Cancelled - Zero Sub",2100,3,2014-08-01,2014-08-03,2014-08-01,7
30041547,"Module Assembly - TopCoder Competition Engine - Responses for Challenges and Challengers","Cancelled - Zero Sub",2100,3,2014-08-01,2014-08-03,2014-08-02,3
30041547,"Module Assembly - TopCoder Competition Engine - Responses for Challenges and Challengers","Cancelled - Zero Sub",2100,3,2014-08-01,2014-08-03,2014-08-03,2
30041572,"TC API - SRM Practice Problems API",Completed,2100,3,2014-09-19,2014-09-21,2014-09-19,8
30041572,"TC API - SRM Practice Problems API",Completed,2100,3,2014-09-19,2014-09-21,2014-09-20,7
