Platform	Javascript	IOS	HTML	CSS	Java	NodeJs	Android	AngularJs	HTML5	Apex	JQuery	Visualforce	Other	Bootstrap	Salesforce	Api	Jsp	PostgreSql	MongoDB	PHP
Other	3	2	2	2	3	2	2	3	3	3	3	3	3	3	2	3	3	3	3	2
IOS	3	2	2	1	3	2	3	3	2	2	2	3	3	1	3	3	3	3	3	2
HTML	3	1	1	1	3	1	4	3	1	1	1	3	1	1	4	3	3	1	3	2
NodeJs	2	2	1	1	2	1	3	2	1	2	2	2	3	1	3	3	3	3	3	4
Android	4	2	1	1	3	1	3	2	4	3	2	3	4	2	3	3	3	3	1	2
Salesforce	3	3	1	1	3	1	3	2	3	4	3	3	3	1	3	3	3	3	3	2
Mobile	3	2	1	2	2	1	2	2	2	1	3	3	1	1	2	3	3	3	3	2
ForceCom	3	2	1	2	2	1	2	2	2	1	2	2	1	1	2	3	1	3	3	2
Wordpress	3	2	1	3	2	1	1	2	2	1	3	3	2	1	2	3	3	4	3	2
EC2	3	1	1	1	2	1	2	2	1	1	2	2	1	1	2	3	3	3	2	2
