date,prize,type,submitted
2014-04-17,40,First2Finish,0
2014-04-17,50,First2Finish,0
2014-04-23,200,First2Finish,1
2014-04-26,100,First2Finish,1
2014-05-03,100,First2Finish,0
2014-05-05,150,First2Finish,1
2014-05-06,30,First2Finish,1
2014-05-07,20,First2Finish,1
2014-05-07,20,First2Finish,1
2014-05-07,60,First2Finish,1
2014-05-08,20,First2Finish,1
2014-05-17,50,First2Finish,1
2014-05-23,1200,"Assembly Competition",1
2014-05-24,1200,"Assembly Competition",1
2014-06-05,150,First2Finish,0
2014-06-05,50,First2Finish,0
2014-06-10,50,First2Finish,0
2014-06-13,100,First2Finish,0
2014-06-13,100,First2Finish,0
2014-06-13,200,First2Finish,1
2014-06-14,400,First2Finish,0
2014-06-14,200,First2Finish,1
2014-06-14,150,First2Finish,0
2014-06-15,2400,"UI Prototype Competition",0
2014-06-15,900,"UI Prototype Competition",0
2014-06-16,100,First2Finish,1
2014-06-16,200,First2Finish,0
2014-06-17,50,First2Finish,0
2014-06-18,100,First2Finish,1
2014-06-18,300,First2Finish,0
2014-06-18,150,First2Finish,0
2014-06-18,350,First2Finish,0
2014-06-18,100,First2Finish,1
2014-06-18,300,First2Finish,0
2014-06-22,200,First2Finish,1
2014-06-24,200,First2Finish,0
2014-06-24,80,First2Finish,1
2014-06-25,200,First2Finish,0
2014-06-26,60,First2Finish,1
2014-06-27,50,First2Finish,0
2014-06-27,2100,"Assembly Competition",1
2014-06-28,200,First2Finish,0
2014-06-29,1950,"UI Prototype Competition",0
2014-07-01,2400,"UI Prototype Competition",0
2014-07-01,150,First2Finish,0
2014-07-05,100,First2Finish,1
2014-07-06,250,First2Finish,0
2014-07-07,150,First2Finish,1
2014-07-08,150,First2Finish,0
2014-07-08,500,First2Finish,1
2014-07-08,300,First2Finish,0
2014-07-08,350,First2Finish,0
2014-07-08,350,First2Finish,0
2014-07-09,25,First2Finish,0
2014-07-11,250,First2Finish,0
2014-07-11,80,First2Finish,1
2014-07-14,70,First2Finish,1
2014-07-15,50,First2Finish,0
2014-07-16,200,First2Finish,1
2014-07-17,100,First2Finish,0
2014-07-17,1650,"UI Prototype Competition",0
2014-07-17,3000,"UI Prototype Competition",0
2014-07-18,2400,"UI Prototype Competition",0
2014-07-18,50,First2Finish,1
2014-07-20,2550,"UI Prototype Competition",0
2014-07-21,100,First2Finish,0
2014-07-22,150,First2Finish,0
2014-07-23,250,First2Finish,0
2014-07-24,100,First2Finish,0
2014-08-08,200,First2Finish,0
2014-08-08,250,First2Finish,1
2014-08-10,500,First2Finish,0
2014-08-13,80,First2Finish,0
2014-08-14,75,First2Finish,0
2014-08-17,150,First2Finish,0
2014-08-18,50,First2Finish,1
2014-08-19,75,First2Finish,0
2014-08-20,100,First2Finish,1
2014-08-21,1200,"UI Prototype Competition",0
2014-08-21,250,First2Finish,0
2014-08-22,30,First2Finish,1
2014-08-22,40,First2Finish,0
2014-08-22,150,First2Finish,0
2014-08-24,80,First2Finish,0
2014-08-27,100,First2Finish,0
2014-08-28,1500,"UI Prototype Competition",0
2014-08-29,60,First2Finish,0
2014-08-29,1650,"UI Prototype Competition",0
2014-08-29,60,First2Finish,0
2014-08-30,80,First2Finish,0
2014-08-30,1800,"UI Prototype Competition",0
2014-09-02,1200,"UI Prototype Competition",0
2014-09-03,200,First2Finish,0
2014-09-06,80,First2Finish,1
2014-09-07,500,First2Finish,0
2014-09-07,200,First2Finish,1
2014-09-08,1200,Code,0
2014-09-08,250,First2Finish,1
2014-09-08,100,First2Finish,1
2014-09-08,500,Code,0
2014-09-09,150,First2Finish,0
2014-09-09,50,First2Finish,1
2014-09-09,50,First2Finish,1
2014-09-10,100,First2Finish,1
2014-09-10,2100,"Assembly Competition",1
2014-09-10,400,First2Finish,0
2014-09-11,150,Code,0
2014-09-11,125,First2Finish,0
2014-09-11,1200,"Assembly Competition",1
2014-09-11,1,Code,1
2014-09-12,3000,"UI Prototype Competition",0
2014-09-14,250,First2Finish,0
2014-09-14,600,First2Finish,0
2014-09-14,100,First2Finish,0
2014-09-15,60,First2Finish,0
2014-09-15,1200,"UI Prototype Competition",0
2014-09-16,2400,"UI Prototype Competition",0
2014-09-18,1800,Code,0
2014-09-18,2250,Code,0
2014-09-19,300,First2Finish,0
2014-09-20,300,First2Finish,0
2014-09-22,50,First2Finish,1
2014-09-23,2100,"Assembly Competition",1
2014-09-23,1650,"UI Prototype Competition",0
2014-09-23,100,First2Finish,0
2014-09-24,150,Code,1
2014-09-25,200,First2Finish,1
2014-09-25,150,Code,1
2014-09-26,800,First2Finish,0
2014-09-26,150,Code,0
2014-09-27,3000,"UI Prototype Competition",0
2014-09-28,600,First2Finish,0
2014-09-29,220,Code,1
2014-09-29,150,First2Finish,1
2014-09-29,300,First2Finish,0
2014-09-30,200,First2Finish,1
2014-09-30,200,First2Finish,0
2014-10-01,1500,"UI Prototype Competition",0
2014-10-01,1950,"UI Prototype Competition",0
2014-10-01,2400,"UI Prototype Competition",0
2014-10-03,1500,Code,0
2014-10-03,1650,"UI Prototype Competition",0
2014-10-03,1650,"UI Prototype Competition",0
2014-10-03,1650,"UI Prototype Competition",0
2014-10-04,300,First2Finish,0
2014-10-07,750,Code,0
2014-10-07,500,Code,0
2014-10-09,350,First2Finish,0
2014-10-09,300,First2Finish,0
2014-10-09,100,First2Finish,1
2014-10-09,3000,"UI Prototype Competition",0
2014-10-11,50,First2Finish,1
2014-10-12,200,First2Finish,1
2014-10-12,75,First2Finish,0
2014-10-13,150,First2Finish,0
2014-10-14,750,Code,0
2014-10-15,100,First2Finish,1
2014-10-15,300,First2Finish,1
2014-10-15,100,First2Finish,1
2014-10-16,250,First2Finish,1
2014-10-16,100,First2Finish,0
2014-10-16,1200,Code,0
2014-10-17,500,First2Finish,0
2014-10-18,380,First2Finish,1
2014-10-18,500,First2Finish,0
2014-10-18,150,First2Finish,0
2014-10-18,19,First2Finish,0
2014-10-18,450,First2Finish,0
2014-10-20,250,First2Finish,1
2014-10-20,150,First2Finish,0
2014-10-21,1650,"UI Prototype Competition",0
2014-10-21,1,Code,1
2014-10-21,100,First2Finish,1
2014-10-22,600,First2Finish,1
2014-10-23,80,First2Finish,1
2014-10-24,75,First2Finish,0
2014-10-25,400,First2Finish,0
2014-10-25,750,"UI Prototype Competition",0
2014-10-26,100,First2Finish,0
2014-10-26,2700,"UI Prototype Competition",0
2014-10-27,100,First2Finish,1
2014-10-28,100,First2Finish,1
2014-10-28,700,First2Finish,0
2014-10-29,500,First2Finish,0
2014-10-29,2100,"UI Prototype Competition",0
2014-10-30,1,Code,0
2014-10-31,2250,"UI Prototype Competition",0
2014-10-31,200,First2Finish,0
2014-10-31,300,First2Finish,1
2014-11-02,200,First2Finish,0
2014-11-02,80,First2Finish,1
2014-11-03,100,First2Finish,1
2014-11-03,800,First2Finish,1
2014-11-03,19,First2Finish,1
2014-11-04,800,First2Finish,1
2014-11-04,200,First2Finish,0
2014-11-05,150,First2Finish,1
2014-11-07,900,"UI Prototype Competition",0
2014-11-08,1650,"UI Prototype Competition",0
2014-11-08,1650,"UI Prototype Competition",0
2014-11-09,2,Code,1
2014-11-09,2100,"UI Prototype Competition",0
2014-11-10,250,First2Finish,1
2014-11-11,2100,"Assembly Competition",1
2014-11-14,2100,"Assembly Competition",1
2014-11-14,1200,Code,0
2014-11-16,1500,Code,0
2014-11-16,900,Code,0
2014-11-16,1500,Code,0
2014-11-17,800,First2Finish,0
2014-11-19,650,Code,0
2014-11-20,600,"UI Prototype Competition",0
2014-11-20,1350,"UI Prototype Competition",0
2014-11-21,250,First2Finish,0
2014-11-22,250,First2Finish,1
2014-11-22,300,First2Finish,0
2014-11-23,20,First2Finish,0
2014-11-25,2100,"Assembly Competition",1
2014-11-26,150,First2Finish,1
2014-11-26,2100,"Assembly Competition",1
2014-11-30,1800,Code,0
2014-11-30,200,First2Finish,0
2014-12-01,300,First2Finish,0
2014-12-04,100,First2Finish,0
2014-12-06,2100,Design,0
2014-12-07,100,First2Finish,0
2014-12-09,1500,"Assembly Competition",1
2014-12-10,1500,Code,0
2014-12-10,1500,"Assembly Competition",1
2014-12-11,750,First2Finish,0
2014-12-12,1650,"UI Prototype Competition",0
2014-12-12,1500,Code,0
2014-12-12,3000,"UI Prototype Competition",0
2014-12-12,2100,"UI Prototype Competition",0
2014-12-12,1800,"UI Prototype Competition",0
2014-12-12,2100,"UI Prototype Competition",0
2014-12-13,2250,"UI Prototype Competition",0
2014-12-13,1650,"UI Prototype Competition",0
2014-12-14,80,First2Finish,1
2014-12-16,3000,"UI Prototype Competition",0
2014-12-16,100,First2Finish,1
2014-12-16,2250,"UI Prototype Competition",0
2014-12-17,80,First2Finish,0
2014-12-19,150,First2Finish,1
2014-12-19,100,First2Finish,0
2014-12-19,100,First2Finish,1
2014-12-19,50,First2Finish,1
2014-12-23,50,First2Finish,1
2014-12-24,1500,"Assembly Competition",1
2014-12-25,300,First2Finish,0
2014-12-25,50,First2Finish,0
2014-12-27,50,First2Finish,0
2014-12-28,1200,"Assembly Competition",1
2014-12-30,2100,"UI Prototype Competition",0
2014-12-31,2250,"UI Prototype Competition",0
2014-12-31,65,First2Finish,0
2014-12-31,65,First2Finish,0
2014-12-31,100,First2Finish,0
2015-01-01,2400,"UI Prototype Competition",0
2015-01-01,150,First2Finish,0
2015-01-05,100,First2Finish,0
2015-01-05,60,First2Finish,1
2015-01-26,200,First2Finish,0
2015-01-28,300,First2Finish,0
2015-01-29,300,First2Finish,0
2015-01-31,150,First2Finish,0
2015-01-31,100,First2Finish,1
2015-01-31,100,First2Finish,1
2015-02-01,250,First2Finish,0
2015-02-02,80,First2Finish,1
